// IBM Unicode conversion file
// Description:
//  BYTE - is the value 00-ff to replace
//  WORD - is the unicode value 00-ffff
// Format:
//  BYTE = WORD

00 = 0020
01 = 263A
02 = 263B
03 = 2665
04 = 2666
05 = 2663
06 = 2660
07 = 25AB
08 = 25AA
09 = 25D8
0A = 25D9
0B = 2642
0C = 2640
0D = 266A
0E = 266B
0F = 263C
10 = 25BA
11 = 25C4
12 = 2195
13 = 203C
14 = 00B6
15 = 00A7
16 = 2022
17 = 21A8
18 = 2191
19 = 2193
1A = 2192
1B = 2190
1C = 25CF
1D = 2194
1E = 037E
1F = 25BC
7F = 2302
80 = 02C7
81 = 02C6
82 = 2191
83 = 2193
84 = 0023
85 = 0109
86 = 0101
87 = 0192
88 = 25BC
89 = 25B2
8A = 2191
8B = 2193
8C = 0023
8D = 0063
8E = 0061
8F = 0066
90 = 05D0
91 = 05D1
92 = 00C6
93 = 05D2
94 = 00F6
95 = 05D3
96 = 05D4
97 = 05D5
98 = 05D8
99 = 00D6
9A = 05DD
9B = 00A2
9C = 05E1
9D = 05E2
9E = 05E3
9F = 05E4
A0 = 00E1
A1 = 00ED
A2 = 00F3
A3 = 00FA
A4 = 0144
A5 = 0143
A6 = 05DA
A7 = 05EA
A8 = 00BF
A9 = 2510
AA = 2510
AB = 042D
AC = 0437
AD = 0456
AE = 05DE
AF = 05DF
B0 = 2591
B1 = 2592
B2 = 2593
B3 = 2502
B4 = 2524
B5 = 2561
B6 = 2562
B7 = 2556
B8 = 2555
B9 = 2563
BA = 2551
BB = 2557
BC = 255D
BD = 255C
BE = 255B
BF = 2510
C0 = 2514
C1 = 2534
C2 = 252C
C3 = 251C
C4 = 2500
C5 = 253C
C6 = 255E
C7 = 255F
C8 = 255A
C9 = 2554
CA = 2569
CB = 2566
CC = 2560
CD = 2550
CE = 256C
CF = 2567
D0 = 2568
D1 = 2564
D2 = 2565
D3 = 2559
D4 = 2558
D5 = 2552
D6 = 2553
D7 = 256B
D8 = 256A
D9 = 2518
DA = 250C
DB = 2588
DC = 2584
DD = 258C
DE = 2590
DF = 2580
E0 = 05E5
E1 = 05E6
E2 = 05E7
E3 = 05E8
E4 = 03A3
E5 = 05E9
E6 = 041B
E7 = 03A6
E8 = 03A8
E9 = 03B8
EA = 03A9
EB = 00C5
EC = 00C4
ED = 01FE
EE = 00E5
EF = 00E4
F0 = 01FA
F1 = 0444
F2 = 01FF
F3 = 0393
F4 = 0394
F5 = 03BB
F6 = 039E
F7 = 220F
F8 = 00C3
F9 = 00E3
FA = 0128
FB = 0129
FC = 00D5
FD = 00F5
FE = 0168
FF = 0169
